akt.citace;akt.název.vyhlášený
347/1997 Sb.;Úst. zákon o vytvoření vyšších územních samosprávných celků
348/2005 Sb.;Zákon o rozhlasových a televizních poplatcích
349/1999 Sb.;Zákon o Veřejném ochránci práv
35/1945 Sb.;Dekret o omezení výplat vkladů
35/1946 Sb.;Zákon o obnovení university v Olomouci
35/2021 Sb.;Zákon o Sbírce předpisů územních samosprávných celků
350/2011 Sb.;Chemický zákon
352/2001 Sb.;Zákon o užívání státních symbolů
353/2003 Sb.;Zákon o spotřebních daních
353/2019 Sb.;Nominační zákon
354/1921 Sb.;Zákon o převzetí majetku podle mírových smluv
354/2019 Sb.;Zákon o soudních tlumočnících a překladatelích
355/2014 Sb.;Zákon o působnosti Celní správy při vymáhání práv duš. vl.
355/2019 Sb.;Zákon o státním rozpočtu
357/2005 Sb.;Zákon o ocenění účastníků národního boje
358/1992 Sb.;Notářský řád
359/1992 Sb.;Zákon o zeměměřických a katastrálních orgánech
359/1999 Sb.;Zákon o sociálně-právní ochraně dětí
36/1945 Sb.;Dekret o plnění závazků v říšských markách
36/1993 Sb.;Zákon o rozhlasovém a televizním vysílání
360/1992 Sb.;Autorizační zákon
360/2004 Sb.;Zákon o EHZS
360/2007 Sb.;Zákon o státním rozpočtu
360/2022 Sb.;Zákon o podpoře nízkoemisních vozidel
361/2000 Sb.;Zákon o provozu na pozemních komunikacích
361/2003 Sb.;Zákon o služebním poměru příslušníků bezpečnostních sborů
362/2022 Sb.;Zákon o dovozu kulturních statků na celní území EU
364/2000 Sb.;Zákon o zrušení FDM
365/2000 Sb.;Zákon o informačních systémech veřejné správy
367/2021 Sb.;Zákon o přechodu k nízkouhlíkové energetice
37/1982 Sb.;Úst. zákon o změnách hranic s NDR
37/1995 Sb.;Zákon o neperiodických publikacích
37/2021 Sb.;Zákon o evidenci skutečných majitelů
370/2017 Sb.;Zákon o platebním styku
372/2011 Sb.;Zákon o zdravotních službách
373/2011 Sb.;Zákon o specifických zdravotních službách
374/2011 Sb.;Zákon o ZZS
374/2015 Sb.;Zákon o ozdravných postupech na finančním trhu
375/1992 Sb.;Zákon o změně názvu VŠV v Brně a PedF v Hradci Králové
375/2004 Sb.;Zákon o zřízení VŠP Jihlava
375/2022 Sb.;Zákon o zdravotnických prostředcích in vitro
376/2015 Sb.;Zákon o ukončení důchodového spoření
377/2005 Sb.;Zákon o finančních konglomerátech
378/2005 Sb.;Zákon o podpoře výstavby družstevních bytů
378/2007 Sb.;Zákon o léčivech
38/1959 Sb.;Zákon o úpravě nároků mezi čs. a polskými osobami
38/1994 Sb.;Zákon o zahraničním obchodu s vojenským materiálem 
38/2008 Sb.;Zákon o vývozu a dovozu zboží pro výkon trestu smrti
381/1991 Sb.;Zákon o KVL
381/2015 Sb.;Zákon o jednorázovém příspěvku důchodci
382/2009 Sb.;Zákon o státním dluhopisovém programu
383/2012 Sb.;Zákon o obchodování s povolenkami na emise
387/2004 Sb.;Zákon o změnách hranic krajů
388/1991 Sb.;Zákon o SFŽP
39/1993 Sb.;Zákon o sankcích za nedodržování transformačního zákona
39/2020 Sb.;Zákon o realitním zprostředkování
395/2009 Sb.;Zákon o významné tržní síle
4/1993 Sb.;Úst. zákon o opatřeních při zániku ČSFR
40/1995 Sb.;Zákon o regulaci reklamy
40/2009 Sb.;Trestní zákoník
400/2015 Sb.;Zákon o státním rozpočtu
403/1990 Sb.;Zákon o zmírnění následků majetkových křivd
404/1990 Sb.;Zákon o státních vyznamenáních ČSFR
404/2000 Sb.;Zákon o zřízení Univerzity Tomáše Bati ve Zlíně
406/2000 Sb.;Zákon o hospodaření energií
408/2000 Sb.;Zákon o ochraně práv k odrůdám
408/2010 Sb.;Zákon o finančním zajištění
41/1953 Sb.;Zákon o peněžní reformě
411/2010 Sb.;Zákon o státním dluhopisovém programu
411/2022 Sb.;Zákon o zvláštních způsobech hlasování ve volbě prezidenta
412/2005 Sb.;Zákon o ochraně utajovaných informací
413/2008 Sb.;Zákon o státním dluhopisovém programu
416/2009 Sb.;Liniový zákon
416/2023 Sb.;Zákon o dorovnávacích daních
417/2004 Sb.;Zákon o patentových zástupcích
418/2011 Sb.;Zákon o trestní odpovědnosti právnických osob
42/1992 Sb.;Zákon o úpravě majetkových vztahů v družstvech
42/1994 Sb.;Zákon o penzijním připojištění
420/2004 Sb.;Zákon o přezkoumávání hospodaření územních samospr. celků
424/1991 Sb.;Zákon o politických stranách a hnutích
427/1990 Sb.;Zákon o převodech vlastnictví státu na jiné osoby
427/2003 Sb.;Zákon o mimořádném určování platu představitelů státní moci
427/2011 Sb.;Zákon o doplňkovém penzijním spoření
428/2012 Sb.;Zákon o majetkovém vyrovnání s církvemi
43/1988 Sb.;Úst. zákon o souhlasu ke změnám hranic s PLR
433/2010 Sb.;Zákon o státním rozpočtu
433/2023 Sb.;Zákon o státním rozpočtu
435/2004 Sb.;Zákon o zaměstnanosti
437/2020 Sb.;Zákon o úpravách v oblasti dávek státní sociální podpory
438/2020 Sb.;Zákon o úpravách poskytování ošetřovného
44/1988 Sb.;Horní zákon
440/2003 Sb.;Zákon o nakládání se surovými diamanty
441/2003 Sb.;Zákon o ochranných známkách
449/2001 Sb.;Zákon o myslivosti
449/2022 Sb.;Zákon o státním rozpočtu
45/2013 Sb.;Zákon o obětech trestných činů
45/2016 Sb.;Zákon o službě vojáků v záloze
45/2020 Sb.;Zákon o zamezení dvojímu zdanění ve vztahu k Tchaj-wanu
451/1991 Sb.;Zákon o dalších předpokladech pro výkon funkcí v ČSFR
452/2001 Sb.;Zákon o ochraně označení původu
455/1991 Sb.;Živnostenský zákon
455/2011 Sb.;Zákon o státním rozpočtu
456/2011 Sb.;Zákon o Finanční správě
457/2003 Sb.;Zákon o státním rozpočtu
457/2016 Sb.;Zákon o státním rozpočtu
458/2000 Sb.;Energetický zákon
46/1948 Sb.;Zákon o nové pozemkové reformě
46/2000 Sb.;Tiskový zákon
46/2002 Sb.;Zákon o přijetí úvěru projekt českých dálnic B
460/1919 Sb.;Zákon o zřízení VŠZ v Brně
461/2020 Sb.;Zákon o kompenzačním bonusu
462/1919 Sb.;Zákon o propůjčování míst legionářům
469/2020 Sb.;Zákon o jednorázovém příspěvku důchodci 2020
47/1945 Sb.;Úst. dekret o Prozatímním Národním shromáždění
47/2002 Sb.;Zákon o podpoře malého a středního podnikání
471/2011 Sb.;Zákon o mezinár. pomoci při vymáhání finančních pohledávek
472/2004 Sb.;Zákon o přijetí úvěrů EIB na výstavbu dálnice D8
474/2017 Sb.;Zákon o státním rozpočtu
475/2008 Sb.;Zákon o státním rozpočtu
475/2013 Sb.;Zákon o státním rozpočtu
477/2001 Sb.;Zákon o obalech
478/1992 Sb.;Zákon o užitných vzorech
48/1997 Sb.;Zákon o veřejném zdravotním pojištění
48/2004 Sb.;Zákon o zabezpečení prezidenta republiky po skončení funkce
480/1991 Sb.;Zákon o době nesvobody
480/2004 Sb.;Zákon o službách informační společnosti
482/2020 Sb.;Zákon o odškodnění obětí potlačení demonstrací
483/1991 Sb.;Zákon o České televizi
484/1991 Sb.;Zákon o Českém rozhlasu
485/2008 Sb.;Zákon o přechodu Úrazové nemocnice v Brně
487/2009 Sb.;Zákon o státním rozpočtu
49/1997 Sb.;Zákon o civilním letectví 
490/2001 Sb.;Zákon o státním rozpočtu
491/2000 Sb.;Zákon o státním rozpočtu
491/2001 Sb.;Zákon o volbách do zastupitelstev obcí
493/2000 Sb.;Zákon o státních dluhopisových programech
496/1990 Sb.;Úst. zákon o navrácení majetku KSČ
496/2012 Sb.;Zákon o audiovizi
497/1990 Sb.;Úst. zákon o navrácení majetku SSM
499/2004 Sb.;Zákon o archivnictví
5/1945 Sb.;Dekret o neplatnosti jednání z doby nesvobody
50/1919 Sb.;Zákon o zřízeni druhé české university
50/1945 Sb.;Dekret o opatřeních v oblasti filmu
500/1990 Sb.;Zákon o působnosti při převodů vl. státu na jiné osoby
500/2004 Sb.;Správní řád
503/2012 Sb.;Zákon o SPÚ
504/1921 Sb.;Zákon o povinnost vrátiti nebo vydati věci movité
504/2012 Sb.;Zákon o státním rozpočtu
505/1990 Sb.;Zákon o metrologii
51/2020 Sb.;Zákon o územně správním členění státu
515/2002 Sb.;Úst. zákon o referendu o přistoupení k EU
517/1992 Sb.;Zákon o ČTK
518/2021 Sb.;Zákon o mimoř. příspěvku zaměstnanci
519/2021 Sb.;Zákon o kompenzačním bonusu
520/2021 Sb.;Zákon o úpravách ošetřovného v souvislosti s COVID-19
523/1992 Sb.;Zákon o daňovém poradenství a KDP
526/1990 Sb.;Zákon o cenách
527/1990 Sb.;Zákon o vynálezech
529/1991 Sb.;Zákon o ochraně topografií polovodičových výrobků
53/1945 Sb.;Dekret o odčinění křivd veřejným zaměstnancům
53/1946 Sb.;Zákon o zřízení VŠUP v Praze
53/1948 Sb.;Zákon o vyvlastnění nemovitosti v k. ú. Královské Vinohrady
539/1992 Sb.;Puncovní zákon
539/2020 Sb.;Zákon o opatřeních v oblasti kvalifikačních předpokladů
54/1945 Sb.;Dekret o přihlašování a zjišťování válečných škod
54/1946 Sb.;Zákon o letním čase
541/1992 Sb.;Úst. zákon o dělení majetku ČSFR
541/2020 Sb.;Zákon o odpadech
542/1992 Sb.;Úst. zákon o zániku ČSFR
542/2020 Sb.;Zákon o výrobcích s ukončenou životností
543/2005 Sb.;Zákon o státním rozpočtu
547/2005 Sb.;Zákon o státním dluhopisovém programu
549/1991 Sb.;Zákon o soudních poplatcích
551/1991 Sb.;Zákon o VZP
553/1991 Sb.;Zákon o obecní policii
555/1992 Sb.;Zákon o Vězeňské a justiční stráži
56/2001 Sb.;Zákon o provozu vozidel na pozemních komunikacích 
561/2004 Sb.;Školský zákon
563/1991 Sb.;Zákon o účetnictví
563/2004 Sb.;Zákon o pedagogických pracovnících
565/1990 Sb.;Zákon o místních poplatcích
569/2020 Sb.;Zákon o očkování proti COVID-19
57/1957 Sb.;Zákon o úpravě nároků mezi čs. a jugoslávskými občany
57/2022 Sb.;Zákon o státním rozpočtu
570/1991 Sb.;Zákon o živnostenských úřadech
572/2006 Sb.;Zákon o přijetí úvěru EIB na protipovodňová opatření
574/2002 Sb.;Zákon o přijetí úvěru EIB na odstraňování povodňových škod
579/2002 Sb.;Zákon o státním rozpočtu
58/1945 Sb.;Dekret o platovém přídavku
58/1995 Sb.;Zákon o pojišťování a financování vývozu
58/2000 Sb.;Zákon o státním rozpočtu
582/1991 Sb.;Zákon o organizaci sociálního zabezpečení
585/2004 Sb.;Branný zákon
586/1992 Sb.;Zákon o daních z příjmů
587/2004 Sb.;Zákon o zrušení civilní služby
588/2020 Sb.;Zákon o náhradním výživném
589/1992 Sb.;Zákon o pojistném na sociální zabezpečení
59/1945 Sb.;Dekret o zrušení jmenování z doby nesvobody
59/1996 Sb.;Zákon o sídle Parlamentu
59/2017 Sb.;Zákon o použití prostředků z majetkových trestních sankcí
592/1992 Sb.;Zákon o pojistném na všeobecné zdravotní pojištění
593/1992 Sb.;Zákon o rezervách
594/2004 Sb.;Zákon o režimu ES pro kontrolu vývozu zboží dvojího užití
597/1992 Sb.;Zákon o zrušení ČSR, ČST a ČSTK
599/1992 Sb.;Zákon o zrušení Československé akademie
6/1993 Sb.;Zákon o ČNB
6/2002 Sb.;Zákon o soudech a soudcích
60/1945 Sb.;Úst. dekret o Zakarpatské Ukrajině
60/1993 Sb.;Zákon o oddělení měny
60/2000 Sb.;Zákon o ochraně olympijských symbolik
600/2020 Sb.;Zákon o státním rozpočtu
61/1918 Sb.;Zákon o zrušení šlechtictví, řádů a titulů
61/1956 Sb.;Zák. opatření o těžbě rašelin
61/1988 Sb.;Zákon o hornické činnosti a o státní báňské správě
61/1997 Sb.;Zákon o lihu
61/2000 Sb.;Zákon o námořní plavbě
62/1958 Sb.;Úst. zákon o vytyčení státních hranic s PLR
62/1983 Sb.;Zákon o věrnostním přídavku horníků
62/1988 Sb.;Zákon o geologických pracích a o ČGÚ
62/2003 Sb.;Zákon o volbách do Evropského parlamentu
622/2006 Sb.;Zákon o státním rozpočtu
623/2006 Sb.;Zákon o státním dluhopisovém programu
625/1992 Sb.;Zákon o zániku ČSD
627/2004 Sb.;Zákon o evropské společnosti
629/2004 Sb.;Zákon o právní pomoci v přeshraničních sporech v rámci EU
63/2000 Sb.;Zákon o ochraně před dovozem subvencovaných výrobků
633/2004 Sb.;Úst. zákon o změně hranic se SRN
634/1992 Sb.;Zákon o ochraně spotřebitele
634/2004 Sb.;Zákon o správních poplatcích
64/1986 Sb.;Zákon o ČOI
65/2017 Sb.;Zákon o ochraně zdraví návykovými látkámi
65/2022 Sb.;Zákon o konfliktu na Ukrajině
66/1974 Sb.;Úst. zákon o změnách hranic s Rakouskou republikou
66/1986 Sb.;Zákon o umělém přerušení těhotenství
66/2022 Sb.;Zákon o konfliktu na Ukrajině (oblast zaměstnanosti)
67/1945 Sb.;Dekret o disciplinárních a kvalifikačních komisích
67/2013 Sb.;Zákon o poskytování plnění spojených s užíváním bytů
67/2022 Sb.;Zákon o konfliktu na Ukrajině (oblast školství)
67/2023 Sb.;Zákon o šíření teroristického obsahu online
675/2004 Sb.;Zákon o státním rozpočtu
68/1925 Sb.;Zákon o připojení a zřízení nemocnic v Praze
68/1945 Sb.;Dekret o reaktivaci veřejných zaměstnanců
69/1945 Sb.;Dekret o přeložení VŠB
69/1998 Sb.;Úst. zákon o zkrácení volebního období Poslanecké sněmovny
69/2006 Sb.;Zákon o provádění mezinárodních sankcí
69/2010 Sb.;Zákon o vlastnictví letiště Praha-Ruzyně
7/2002 Sb.;Zákon o řízení ve věcech soudců a státních zástupců
71/1994 Sb.;Zákon o předmětech kulturní hodnoty
72/2000 Sb.;Zákon o investičních pobídkách
73/1936 Sb.;Zákon o Ostravsko-Frýdlantské dráze
73/2011 Sb.;Zákon o Úřadu práce
73/2012 Sb.;Zákon o látkách, které poškozují ozonovou vrstvu
74/1945 Sb.;Dekret o reaktivaci provdaných žen
74/1946 Sb.;Úst. zákon o udělení občanství vracejícím se krajanům
74/1990 Sb.;Zákon o novém znění vojenské přísahy a služební přísahy
74/1997 Sb.;Úst. zákon o změnách hranic se Slovenskou republikou
76/1918 Sb.;Zákon o zřízení VŠZ v Brně
76/1920 Sb.;Zákon o inkorporaci kraje Hlučínského
76/1946 Sb.;Zákon o soudních rozhodnutích v obč. věcech z doby nesvobody
76/2002 Sb.;Zákon o integrované prevenci
76/2004 Sb.;Úst. zákon o změnách hranic s Rakouskou republikou
77/1997 Sb.;Zákon o státním podniku
77/2002 Sb.;Zákon o Českých dráhách a Správě železnic
78/1930 Sb.;Zákon o místních dráhách Zaječí—Hodonín a Mutěnice—Kyjov
78/2004 Sb.;Zákon o nakládání s GMO
79/1945 Sb.;Dekret o soudnictví
8/1918 Sb.;Zákon o zrušení zabavení jmění pro činy velezrádné
8/1945 Sb.;Dekret o věnování nemovitostí SSSR
80/1945 Sb.;Dekret o středoevropském času
81/1920 Sb.;Zákon přídělový
81/1945 Sb.;Dekret o opatřeních v oboru spolkovém
82/1998 Sb.;Zákon o odpovědnosti státu za škodu
83/1945 Sb.;Dekret o branné povinnosti
83/1946 Sb.;Zákon o poměrech Němců, Maďarů, zrádců a jejich pomahačů
83/2010 Sb.;Zákon o státním dluhopisovém programu
83/2013 Sb.;Zákon o označování výbušnin pro civilní použití
84/1919 Sb.;Zákon o okolkování bankovek a soupisu jmění
84/1945 Sb.;Dekret o délce presenční služby
84/1990 Sb.;Zákon o právu shromažďovacím
85/1945 Sb.;Dekret o zrušení školného
85/1990 Sb.;Zákon o právu petičním
85/1996 Sb.;Zákon o advokacii
85/2012 Sb.;Zákon o ukládání oxidu uhličitého
86/1945 Sb.;Dekret o finanční stráži
87/1991 Sb.;Zákon o mimosoudních rehabilitacích
87/1995 Sb.;Zákon o spořitelních a úvěrních družstvech
87/2023 Sb.;Zákon o dozoru nad trhem s výrobky
89/1995 Sb.;Zákon o státní statistické službě
89/2012 Sb.;Občanský zákoník
89/2014 Sb.;Zákon o státním dluhopisovém programu
90/1947 Sb.;Zákon o provedení knihovního pořádku
90/1995 Sb.;Zákon o jednacím řádu Poslanecké sněmovny
90/2012 Sb.;Zákon o obchodních korporacích
90/2016 Sb.;Zákon o posuzování shody výrobků
91/1945 Sb.;Dekret o obnovení československé měny
91/1996 Sb.;Zákon o krmivech
91/2012 Sb.;Zákon o mezinárodním právu soukromém
91/2022 Sb.;Zákon o panevropském osobním penzijním produktu
92/1991 Sb.;Zákon o převodu majetku státu na jiné osoby
93/1945 Sb.;Dekret o opatřeních v oboru sociálního pojištění
93/2009 Sb.;Zákon o auditorech
93/2018 Sb.;Zákon o genetických zdrojích podle Nagojského protokolu
94/2009 Sb.;Zákon o přijetí úvěru EIB na vodovody a kanalizace
94/2012 Sb.;Zákon o zásluhách V. Havla
94/2021 Sb.;Zákon o mimoř. opatřeních při epidemii
95/1945 Sb.;Dekret o přihlášení vkladů u peněžních ústavů
95/2004 Sb.;Zákon o způsobilosti k výkonu zdravotnického povolání
95/2012 Sb.;Zákon o státním dluhopisovém programu
95/2021 Sb.;Zákon o kompenzačním bonusu
96/1931 Sb.;Zákon o místní dráze Litovel—Senice
96/1945 Sb.;Dekret o zřízení pobočky LF UK v Hradci Králové
96/1993 Sb.;Zákon o stavebním spoření
96/2004 Sb.;Zákon o nelékařských zdravotnických povoláních
96/2011 Sb.;Zákon o státním dluhopisovém programu
97/1993 Sb.;Zákon o SSHR
97/1996 Sb.;Zákon o ochraně chmele
98/1931 Sb.;Zákon o místní dráze Liberec—Tanvald
98/1937 Sb.;Zákon o platnosti sňatků na území Slovenska
98/1987 Sb.;Zákon o zvláštním příspěvku horníkům
99/1963 Sb.;Občanský soudní řád
99/2000 Sb.;Zákon o zákazu dodávek pro jadernou elektrárnu Búšehr
99/2004 Sb.;Zákon o rybářství
99/2019 Sb.;Zákon o přístupnosti internetových stránek
