akt.citace;kategorie;akt.název.vyhlášený;status;komentář
300/2020 Sb.;pandemie COVID;Zákon o prominutí pojistného na sociální zabezpečení a příspěvku na státní politiku zaměstnanosti placeného některými zaměstnavateli jako poplatníky v souvislosti s mimořádnými opatřeními při epidemii v roce 2020 a o změně zákona č. 187/2006 Sb., o nemocenském pojištění, ve znění pozdějších předpisů;NA;NA
437/2020 Sb.;pandemie COVID;Zákon o některých úpravách v oblasti dávek státní sociální podpory a příspěvku na péči v souvislosti s nouzovým stavem při epidemii;NA;NA
438/2020 Sb.;pandemie COVID;Zákon o úpravách poskytování ošetřovného v souvislosti s mimořádnými opatřeními při epidemii a o změně zákona č. 187/2006 Sb., o nemocenském pojištění, ve znění pozdějších předpisů;NA;NA
539/2020 Sb.;pandemie COVID;Zákon o některých opatřeních ke zmírnění dopadů epidemie koronaviru označovaného jako SARS CoV-2 v oblasti prokazování plnění kvalifikačních předpokladů pro účely pracovněprávních vztahů;NA;NA
121/2021 Sb.;pandemie COVID;Zákon o mimořádném příspěvku zaměstnanci při nařízené karanténě;NA;NA
136/2021 Sb.;pandemie COVID;Zákon o některých dalších úpravách v oblasti dávek státní sociální podpory a příspěvku na péči v souvislosti s epidemií COVID-19 a o změně některých dalších zákonů;NA;NA
249/2021 Sb.;pandemie COVID;Zákon o některých opatřeních ke zmírnění dopadu epidemie koronaviru označovaného jako SARS CoV-2 na oblast realitního zprostředkování a o změně zákona č. 39/2020 Sb., o realitním zprostředkování a o změně souvisejících zákonů (zákon o realitním zprostředkování), ve znění pozdějších předpisů;NA;NA
518/2021 Sb.;pandemie COVID;Zákon o mimořádném příspěvku zaměstnanci při nařízené karanténě;NA;NA
519/2021 Sb.;pandemie COVID;Zákon o kompenzačním bonusu pro rok 2022;NA;NA
520/2021 Sb.;pandemie COVID;Zákon o dalších úpravách poskytovaní ošetřovného v souvislosti s mimořádnými opatřeními při epidemii onemocnění COVID-19;NA;NA
95/2021 Sb.;pandemie COVID;Zákon o kompenzačním bonusu pro rok 2021;NA;NA
26/2022 Sb.;pandemie COVID;Zákon o mimořádném ředitelském volnu a mimořádném vzdělávání distančním způsobem pro období epidemie onemocnění COVID-19 a o změně zákona č. 520/2021 Sb., o dalších úpravách poskytování ošetřovného v souvislosti s mimořádnými opatřeními při epidemii onemocnění COVID-19;NA;NA
411/2022 Sb.;pandemie COVID;Zákon o zvláštních způsobech hlasování ve volbě prezidenta republiky v roce 2023;NA;NA
482/2020 Sb.;polistopadové usporádání;Zákon o odškodnění některých obětí potlačení demonstrací k prvnímu výročí okupace Československa vojsky Svazu sovětských socialistických republik, Německé demokratické republiky, Polské lidové republiky, Maďarské lidové republiky a Bulharské lidové republiky;NA;NA
296/1992 Sb.;polistopadové usporádání;Zákonné opatření předsednictva Federálního shromáždění o náhradě škod způsobených československým fyzickým osobám vstupem cizích vojsk a pobytem sovětských vojsk na území České a Slovenské Federativní Republiky;obsoletní;Nárok na náhradu škody podle posuzovaného předpisu musel být uplatněn do 31.října 1992, jinak zanikl. Předpis je tak vyhaslý a obsoletní, s ohledem na oblast úpravy lze spatřit kulturně historickou hodnotu předpisu.
203/2005 Sb.;polistopadové usporádání;Zákon o odškodnění některých obětí okupace Československa vojsky Svazu sovětských socialistických republik, Německé demokratické republiky, Polské lidové republiky, Maďarské lidové republiky a Bulharské lidové republiky;obsoletní;Účelem předpisu bylo odškodnit občany České republiky, kteří jako občané Československé socialistické republiky nebo občané Československé federativní republiky nebo občané České a Slovenské Federativní Republiky byli usmrceni, znásilněni či zraněni v souvislosti s pobytem okupačních armád Svazu sovětských socialistických republik, Německé demokratické republiky, Polské lidové republiky, Maďarské lidové republiky a Bulharské lidové republiky na území tehdejšího Československa. Nárok na odškodnění založený dle posuzovaného předpisu bylo nutné uplatnit nejpozději do 31. prosince 2010, jinak zanikly. Předpis nemá dopad na současné právní vztahy, nelze však upřít kulturněhistorickou hodnotu předpisu, který se vypořádává s okupací Československa a přináší určitou formu zadostiučinění jejím tehdejším obětem a jejich příbuzným.
307/1990 Sb.;polistopadové usporádání;Zákonné opatření předsednictva České národní rady o působnosti orgánu České republiky při provádění zákona o úpravě některých majetkových vztahů řeholních řádů a kongregací a arcibiskupství olomouckého;platný;Posuzovaný předpis navazuje na zákon č. 298/1990 Sb., o úpravě některých majetkových vztahů řeholních řádů a kongregací a arcibiskupství olomouckého, který je nadále platný a účinný. Dle ustanovení § 4 odst. 1 se mohou řeholní řády a kongegace domáhat u vydaného majetku sloužího k poskytování služeb zdravotnických nebo sociálních anebo pro školství nebo kulturní či osvětovou činnost vyklizení pouze se souhlasem orgánu, kterým je dle posuzovaného předpisu ministerstvo kultury. Ačkoliv lze předpokládat, že více než třicet let od vydání majetku byly právní poměry k vydanému majetku již dodatečně upraveny dohodou dotčených stran či rozhodnutím soudů, doporučujeme projednat s gestorem, zda ustanovení § 4 odst. 1 zákona č. 298/1990 Sb. ve spojení s posuzovaným předpisem nadále působí na právní vztahy. Do prokázání opaku je třeba posuzovaný předpis s ohledem na jeho vazbu na platný zákon č. 298/1990 Sb. považovat rovněž za platný.
496/1990 Sb.;polistopadové usporádání;Ústavní zákon o navrácení majetku Komunistické strany Československa lidu České a Slovenské Federativní Republiky;platný;Posuzovaným předpisem došlo k 1. 1. 1991 k odnětí majetkových práv Komunistické strany Čech a Moravy, Komunistické strany Slovenska - Strany demokratické levice a Komunistické strany Československa. Vlastníkem těchto práv se stal stát. Dle usnesení Ústavního soudu č. I ÚS 387/1997 ze dne 14.7.1998 nešlo ani o restituci, ani o vyvlastňovací právní akt apod., ale o organizační opatření státu v souvislosti se státoprávními změnami, která vedla k převodu zákonem stanoveného majetku z vlastnictví Komunistické strany Československa na stát. Posuzovaný předpis je tedy nabývacím titulem jak movitého, tak nemovitého majetku specifikovaného v § 1 odst. 1 posuzovaného předpisu. Ze shora uvedených důvodů je třeba ho považovat za platný.
497/1990 Sb.;polistopadové usporádání;Ústavní zákon o navrácení majetku Socialistického svazu mládeže lidu České a Slovenské Federativní Republiky;platný;Posuzovaným předpisem došlo k 1. 1. 1991 k odnětí majetkových práv k podnikům, hospodářským a účelovým zařízením Svazu mladých, nástupce Socialistického svazu mládeže. Vlastníkem těchto podniků a zařízení se stal stát. Posuzovaný předpis je tedy nabývacím titulem jak movitého, tak nemovitého majetku specifikovaného v § 1 a § 2 odst. 1 posuzovaného předpisu. Ze shora uvedených důvodů je třeba ho považovat za platný.
231/1991 Sb.;polistopadové usporádání;Zákon České národní rady o působnosti orgánů České republiky v mimosoudních rehabilitacích;platný;Předpis nebyl zrušen ani nahrazen pozdější úpravou, jde o platnou součást právního řádu způsobilou účinkovat na právní vztahy.
162/1992 Sb.;polistopadové usporádání;Zákon České národní rady o působnosti orgánů České republiky při provádění zákona č. 403/1990 Sb., o zmírnění následků některých majetkových křivd, ve znění zákonů č. 458/1990 Sb., č. 528/1990 Sb. a č. 137/1991 Sb.;platný;Posuzovaný předpis upravuje působnost orgánů České republiky při provádění platného zákona č. 403/1990 Sb., o zmírnění následků některých majetkových křivd.
279/1992 Sb.;polistopadové usporádání;Zákon České národní rady o některých dalších předpokladech pro výkon některých funkcí obsazovaných ustanovením nebo jmenováním příslušníků Policie České republiky a příslušníků Sboru nápravné výchovy České republiky;platný;Předpis nebyl zrušen ani nahrazen lex posterior, jeho poslední novela nabyla účinnosti k 1. 7. 2017, jde o platnou a účinnou součást právního řádu působící na právní vztahy.
39/1993 Sb.;polistopadové usporádání;Zákon České národní rady o pokutách a kaucích za nedodržování zákonů upravujících transformaci zemědělských družstev a nápravu majetkových křivd v oblasti vlastnických vztahů k půdě a jinému zemědělskému majetku;platný;Předpis navazuje na zákon č. 229/1991 Sb., jehož je zároveň novelou, a stanoví sankce za nedodržení povinností stanovených zákony, které upravují restituce, naposledy byl novelizován zákonem č.  229/2019 Sb. Předpis stále působí na právní vztahy,  nebyl zrušen a v této oblasti neexistuje ani lex posterior - jedná se tedy o platnou a účinnou součást právního řádu.
212/2009 Sb.;polistopadové usporádání;Zákon, kterým se zmírňují majetkové křivdy občanům České republiky za nemovitý majetek, který zanechali na území Podkarpatské Rusi v souvislosti s jejím smluvním postoupením Svazu sovětských socialistických republik;platný;Posuzovaný předpis upravuje odškodnění občanů České republiky za nemovitý majetek, který zanechali na území Podkarpatské Rusi v souvislosti s jejím smluvním postoupením Svazu sovětských socialistických republik. Původní lhůta pro uplatnění nároku uplynula 31.12.2013 a jejím marným uplynutím došlo k zániku nároku, nicméně zákonem č. 364/2017 Sb. byla doplněna nová kategorie osob oprávněných k uplatnění nároku, u nichž lhůta končila až dnem 30. června 2018. Dle sdělení gestora dosud běží soudní spory vztahující se k podaným žádostem, a proto je třeba na posuzovaný předpis nadále pohlížet jako na platný a účinný.
311/2013 Sb.;polistopadové usporádání;Zákon o převodu vlastnického práva k jednotkám a skupinovým rodinným domům některých bytových družstev a o změně některých zákonů;platný;Analyzovaný předpis nebyl zrušen ani nahrazen pozdější právní úpravou. Poslední novela předpisu byla provedena zákonem č. 163/2020 Sb. Je platnou součástí právního řádu působící na právní vztahy.
124/1945 Sb.;poválečné uspořádání;Dekret presidenta republiky o některých opatřeních ve věcech knihovních;NA;NA
35/1945 Sb.;poválečné uspořádání;Dekret presidenta republiky o přechodném omezení výplat vkladů u peněžních ústavů (peněžních podniků) v pohraničním území;NA;NA
50/1945 Sb.;poválečné uspořádání;Dekret presidenta republiky o opatřeních v oblasti filmu;NA;NA
81/1945 Sb.;poválečné uspořádání;Dekret presidenta republiky o některých opatřeních v oboru spolkovém;NA;NA
76/1946 Sb.;poválečné uspořádání;Zákon o zrušení a o změně soudních rozhodnutí v občanských věcech právních z doby nesvobody;NA;NA
83/1946 Sb.;poválečné uspořádání;Zákon o pracovních (učebních) poměrech Němců, Maďarů, zrádců a jejich pomahačů;NA;NA
131/1948 Sb.;poválečné uspořádání;Zákon o likvidaci právních poměrů německé evangelické církve v Čechách, na Moravě a ve Slezsku;NA;NA
21/1948 Sb.;poválečné uspořádání;Zákon o právním postavení snoubenek a nemanželských dětí, pozůstalých po účastnících národního boje za osvobození;obsoletní;Účelem předpisu bylo zlepšení právního postavení žen a nemanželských dětí, dle důvodové zprávy se zákon snažil vyrovnat s požadavky žen, kterým válka neumožnila vstoupit do manželství a napravení situace nemanželských dětí, ovšem s korekcí přílišné tvrdosti, která by mohla být výše zmiňovaným způsobena. Jednalo se tedy o jakési retrospektivní uzavření manželství sui generis. V souladu s věcným a chronologickým přehledem všech platných právních předpisů, vyhlášených ve Sbírce zákonů, lze nalézt analyzovaný předpis v sekci Národního boje za osvobození jako platný. Nicméně i v souladu s usnesením Ústavního soudu III.ÚS 2880/15 ze dne 5. 11. 2015, je tento předpis stavěn do obdobné role jako zákon č. 164/1946 Sb., o péči o vojenské a válečné poškozence a oběti války a fašistické persekuce, neboť i tento byl přijat po skončení doby nesvobody za účelem napravení křivd, tento byl výslovně zrušen dle ust. § 91 odst. 1 písm. a) zákona č. 55/1956 Sb. Analyzovaný předpis je obsoletní a byť nepočítal ve svojí textaci se stavem, kdy by zemřela ve válce žena, je třeba před případným návrhem na jeho zrušení zvážit veškerá související kulturně-historická hlediska.
217/1994 Sb.;poválečné uspořádání;Zákon o poskytnutí jednorázové peněžní částky některým obětem nacistické perzekuce;obsoletní;Dle analyzovaného zákona má za stanovených podmínek oprávněná osoba (§ 3) právo na poskytnutí jednorázové peněžní částky. V ust. § 5 odst. 2 je stanoveno, že nárok na poskytnutí jednorázové peněžní částky uplatní osoba uvedená v § 3 u orgánu příslušného k rozhodnutí podle odstavce 1 do devíti měsíců ode dne účinnosti tohoto zákona písemným návrhem, jinak právo na poskytnutí jednorázové peněžní částky zaniká. V ust. § 3 odst. 2 je stanoveno, že včas uplatněný nárok na poskytnutí jednorázové peněžní částky, pokud o něm nebylo rozhodnuto nebo pokud jednorázová peněžní částka nebyla vyplacena, přechází v případě úmrtí osoby uvedené v odstavci 1 na její dědice - k přechodu  nároku tedy dochází jen za předpokladu včasného uplatnění nároku dle § 5 odst. 2. Předmětný zákon tak již v současné době vzhledem k uplynutí stanovené lhůty pro uplatnění nároku pozbyl účelu, jedná se tedy o obsoletní právní předpis. Před případným návrhem na jeho zrušení je ale potřeba zvážit všechna kulturně historická hlediska.
148/1947 Sb.;poválečné uspořádání;Zákon o opatřeních k provedení československo-maďarské dohody o výměně obyvatelstva;platný;Analyzovaný zákon byl přijat za účelem provedení dohody mezi Československem a Maďarskem ze dne 27. února 1946 o výměně obyvatelstva, publ. pod č. 145/1946 Sb. z. a n., podle níž z ČSR mohlo být odsunuto tolik Maďarů, kolik Slováků se dobrovolně přesídlí z Maďarska na Slovensko. Účelem daného zákona bylo zakotvení povinnosti vlády učinit všechna opatření nutná k vnitrostátnímu provedení této dohody a stanovit další podmínky ve věci konfiskace majetku, na nějž se vztahují ustanovení čl. VII dohody. S ohledem na mezinárodněprávní rozměr a diplomatické zvyklosti a vzhledem k určitému kulturně-historickému hledisku daného právního předpisu bude ponechán v platnosti.
212/2000 Sb.;poválečné uspořádání;Zákon o zmírnění některých majetkových křivd způsobených holocaustem a o změně zákona č. 243/1992 Sb., kterým se upravují některé otázky související se zákonem č. 229/1991 Sb., o úpravě vlastnických vztahů k půdě a jinému zemědělskému majetku, ve znění zákona č. 93/1992 Sb., ve znění pozdějších předpisů;platný;Předpis nebyl zrušen, neexistuje ani lex posterior. V části prvé se  stanoví pravidla pro zmírnění některých majetkových křivd způsobených holocaustem židovským právnickým osobám a ve vztahu k uměleckým dílům i fyzickým osobám, v části druhé se doplňuje zákon č. 243/1992 Sb., kterým se upravují některé otázky související se zákonem č. 229/1991 Sb., o úpravě vlastnických vztahů k půdě a jinému zemědělskému majetku, o nároky fyzických osob, kterým vznikly majetkové nároky podle dekretu prezidenta republiky č. 5/1945 Sb., přičemž těmto oprávněným osobám nebyl majetek vrácen ani jim nebylo vyplaceno odškodnění. U některých nároků není uvedena lhůta pro jejich uplatnění, případně není stanoven následek zániku nároku v případě nedodržení této lhůty. Posuzovaný předpis tak nadále působí na právní vztahy, o čemž svědčí řada soudních sporů z posledních let, jejichž předmětem jsou uplatněné nároky, a to zejména fyzických osob. Posuzovaný předpis je tak třeba nadále považovat za platný a účinný.
45/2020 Sb.;provádění mezinárodních smluv;Zákon o zamezení dvojímu zdanění ve vztahu k Tchaj-wanu;NA;NA
60/2000 Sb.;provádění mezinárodních smluv;Zákon o ochraně olympijských symbolik;platný;Předpis nebyl zrušen a neexistuje ani lex posterior, předpis je stále platnou a účinnou součástí právního řádu  působící i nadále na právní vztahy.
63/2000 Sb.;provádění mezinárodních smluv;Zákon o ochraně před dovozem subvencovaných výrobků a o změně zákona č. 2/1969 Sb., o zřízení ministerstev a jiných ústředních orgánů státní správy České republiky, ve znění pozdějších předpisů, a zákona č. 13/1993 Sb., celní zákon, ve znění pozdějších předpisů;platný;Předpis nebyl zrušen a neexistuje ani lex posterior, předpis je stále platnou a účinnou součástí právního řádu působící i nadále na právní vztahy.
186/2011 Sb.;provádění mezinárodních smluv;Zákon o poskytování součinnosti pro účely řízení před některými mezinárodními soudy a jinými mezinárodními kontrolními orgány a o změně zákona č. 99/1963 Sb., občanský soudní řád, ve znění pozdějších předpisů;platný;Posuzovaný právní předpis nebyl zrušen ani nahrazen ve smyslu lex posterior, je platnou součástí českého právního řádu účinkující na právní vztahy - mj. novelizuje platný z. č. 99/1963 Sb.
99/2019 Sb.;provádění předpisů EU;Zákon o přístupnosti internetových stránek a mobilních aplikací a o změně zákona č. 365/2000 Sb., o informačních systémech veřejné správy a o změně některých dalších zákonů, ve znění pozdějších předpisů;NA;NA
335/2020 Sb.;provádění předpisů EU;Zákon o mezinárodní spolupráci při řešení daňových sporů v Evropské unii;NA;NA
151/2021 Sb.;provádění předpisů EU;Zákon o provádění zvláštních režimů v oblasti zahraničního obchodu;NA;NA
225/2022 Sb.;provádění předpisů EU;Zákon o prekurzorech výbušnin a o změně souvisejících zákonů (zákon o prekurzorech výbušnin);NA;NA
360/2022 Sb.;provádění předpisů EU;Zákon o podpoře nízkoemisních vozidel prostřednictvím zadávání veřejných zakázek a veřejných služeb v přepravě cestujících;NA;NA
362/2022 Sb.;provádění předpisů EU;Zákon o vstupu a dovozu některých kulturních statků na celní území Evropské unie a o změně některých souvisejících zákonů;NA;NA
34/2023 Sb.;provádění předpisů EU;Zákon o koordinaci spolupráce s Evropským úřadem pro boj proti podvodům;NA;NA
67/2023 Sb.;provádění předpisů EU;Zákon o některých opatřeních proti šíření teroristického obsahu online;NA;NA
87/2023 Sb.;provádění předpisů EU;Zákon o dozoru nad trhem s výrobky a o změně některých souvisejících zákonů (zákon o dozoru nad trhem s výrobky);NA;NA
629/2004 Sb.;provádění předpisů EU;Zákon o zajištění právní pomoci v přeshraničních sporech v rámci Evropské unie;platný;Posuzovaný právní předpis je stále platný a vyvolává účinky na právní vztahy, nebyl zrušen ani nahrazen pozdější právní úpravou.
38/2008 Sb.;provádění předpisů EU;Zákon o vývozu a dovozu zboží, které by mohlo být použito pro výkon trestu smrti, mučení nebo jiné kruté, nelidské či ponižující zacházení nebo trestání, a o poskytování technické pomoci s tímto zbožím související, a o změně zákona č. 634/2004 Sb., o správních poplatcích, ve znění pozdějších předpisů;platný;Posuzovaný právní předpis je stále platný a účinkuje na právní vztahy, nebyl zrušen ani nahrazen pozdějším právním předpisem.
197/2009 Sb.;provádění předpisů EU;Zákon o certifikaci veřejných dokladů s biometrickými údaji a o změně některých zákonů;platný;Posuzovaný předpis nebyl zrušen ani nahrazen pozdější právní úpravou, navíc novelizuje dosud platné a účinné právní předpisy, a proto je sám platný a účinný.
395/2009 Sb.;provádění předpisů EU;Zákon o významné tržní síle a nekalých obchodních praktikách při prodeji zemědělských a potravinářských produktů ;platný;Posuzovaný právní předpis je stále platný a účinkuje na právní vztahy, nebyl zrušen ani nahrazen pozdějším právním předpisem.
272/2013 Sb.;provádění předpisů EU;Zákon o prekursorech drog;platný;předpis nebyl zrušen ani nahrazen lex posterior, stále vyvolává právní účinky (na jeho základě bylo v roce 2021 vydáno nařízení vlády č. 196/2021 Sb.), je tedy platný a účinný
83/2013 Sb.;provádění předpisů EU;Zákon o označování a sledovatelnosti výbušnin pro civilní použití;platný;Analyzovaný předpis nebyl zrušen ani nahrazen pozdější právní úpravou. Poslední novela předpisu byla provedena zákonem č. 609/2020 Sb. Je platnou součástí právního řádu účinkující na právní vztahy.
246/2017 Sb.;provádění předpisů EU;Zákon o evropských politických stranách a evropských politických nadacích a o změně některých zákonů;platný;Jde o platný a účinný právní předpis - nebyl zrušen ani nahrazen lex posterior a vyvolává účinky na právní vztahy.
262/2017 Sb.;provádění předpisů EU;Zákon o náhradě škody v oblasti hospodářské soutěže a o změně zákona č. 143/2001 Sb., o ochraně hospodářské soutěže a o změně některých zákonů (zákon o ochraně hospodářské soutěže), ve znění pozdějších předpisů, (zákon o náhradě škody v oblasti hospodářské soutěže);platný;Jde o platný a účinný právní předpis - nebyl zrušen ani nahrazen lex posterior a vyvolává účinky na právní vztahy.
157/1994 Sb.;státní vyznamenaní;Zákon o státních vyznamenáních České republiky;platný;Předpis nebyl zrušen ani nahrazen lex posterior, nadále působí na právní vztahy a je platnou součástí právního řádu.
158/2013 Sb.;státní vyznamenaní;Zákon o Květnovém povstání českého lidu;platný;Podle analyzovaného zákona Ministerstvo obrany vydá žijícímu účastníku Květnového povstání českého lidu na jeho žádost pamětní odznak účastníka Květnového povstání českého lidu. Zákonem není stanovena prekluzivní lhůta, dokdy může účastník Květnového povstání českého lidu o pamětní odznak žádat. Lze předpokládat, že stále žijí účastníci povstání, kterým právo žádat o pamětní odznak dle analyzovaného zákona náleží. Předpis nebyl zrušen ani nahrazen lex posterior. Jedná se tak o platnou a účinnou součást právního řádu.
128/2022 Sb.;válka na Ukrajině;Zákon o opatřeních v oblasti daní v souvislosti s ozbrojeným konfliktem na území Ukrajiny vyvolaným invazí vojsk Ruské federace;NA;NA
175/2022 Sb.;válka na Ukrajině;Zákon o dalších opatřeních v souvislosti s ozbrojeným konfliktem na území Ukrajiny vyvolaným invazí vojsk Ruské federace a o změně dalších zákonů v souvislosti s ozbrojeným konfliktem na území Ukrajiny vyvolaným invazí vojsk Ruské federace;NA;NA
197/2022 Sb.;válka na Ukrajině;Zákon o zvláštních postupech v oblasti územního plánování a stavebního řádu v souvislosti s ozbrojeným konfliktem na území Ukrajiny vyvolaným invazí vojsk Ruské federace;NA;NA
67/2022 Sb.;válka na Ukrajině;Zákon o opatřeních v oblasti školství v souvislosti s ozbrojeným konfliktem na území Ukrajiny vyvolaným invazí vojsk Ruské federace;NA;NA
251/1946 Sb.;vyvlastnění;Zákon o vyvlastnění Pražského sanatoria v Praze-Podolí;platný;Posuzovaný předpis upravuje vyvlastnění Pražského sanatoria v Praze -Podolí. Předpis nese charakteristické rysy správního (vyvlastňovacího) aktu, neboť ve svém § 1 stanovil, že dochází k převodu některých individuálně specifikovaných nemovitostí (určených jako pozemky a stavby zapsaných do tehdy existujícího katastru nemovitostí, spolu se všemi zařízeními a související zařízení) do vlastnictví Československé republiky. Současně v § 2 stanovil náhradu za převod vlastnictví. Domníváme se, že předpis je třeba považovat za nabývací titul k daným nemovitým věcem, a proto by měl zůstat platný.
143/1947 Sb.;vyvlastnění;Zákon o převodu vlastnictví majetku hlubocké větve Schwarzenbergů na zemi Českou;platný;"Předpis nebyl zrušen ani nahrazen lex posterior, je stále ""živý"", poslední rozhodnutí např. usnesení NS z 24.11.2016 (28 Cdo 985/2016), které navíc uvádí: ""K přechodu vlastnického práva na stát podle zákona č. 143/1947 Sb. došlo ex lege jeho účinností, tedy dnem 13. 8. 1947, tj. ještě před rozhodným obdobím podle zákona o půdě, a nikoliv až knihovním zápisem (intabulací). Knihovní zápis měl v těchto případech toliko deklaratorní a nikoliv konstitutivní význam."" Právní předpis tedy vnímáme jako stále živý, tedy platný a účinný."
599/1992 Sb.;zánik federace;Zákon, kterým se zrušuje Československá akademie věd a upravuje způsob vypořádání majetkových a jiných práv;platný;Posuzovaným předpisem byla uplynutím dne 31. prosince 1992 zrušena Československá akademie věd. Posuzovaný předpis dále stanovil pravdila pro přechod nemovitostí, movitého majetku a majetkových práv na nástupnické organizace určené zákony národních rad. V případě České republiky je tímto národním zákonem zákon 218/1992 Sb., o Akademii věd České republiky (§ 18 odst. 1). Posuzovaný předpis je ve spojení se zákonem č. 218/1992 Sb. nabývacím titulem, a proto je třeba na něj pohlížet jako na platný a účinný.
625/1992 Sb.;zánik federace;Zákon o zániku státní organizace Československé státní dráhy;platný;Posuzovaným předpisem se uplynutím dne 31.12.1992 zrušila organizace Československé státní dráhy. Posuzovaný předpis upravuje právní nástupnictví, zejména je nabývacím titulem pro státy Českou a Slovenskou republiky ve vztahu k nemovitým věcem, majetkovým právům a závazkům. Posuzovaný předpis dále stanoví přechod práv a povinností vyplývajících z mezinárodních smluv a členství v mezinárodních organizacích. Ze shora uvedených důvodů je třeba považovat posuzovaný předpis nadále za platný a účinný.
36/1993 Sb.;zánik federace;Zákon České národní rady o některých opatřeních v oblasti rozhlasového a televizního vysílání;platný;Novelizuje platný z. č. 483/1991 Sb. a z. č. 484/1991 Sb. - jakožto novela platných předpisů je tudíž analyzovaný předpis platný. Navíc stanoví právní nástupnictví k vlastnictví k nemovitostem a k autorským právům, jejichž vlastníkem byli Československý rozhlas a Československá televize.
60/1993 Sb.;zánik federace;Zákon o oddělení měny;platný;Posuzovaný předpis upravuje v naváznosti na rozpad ČSFR oddělení od společné měny. V této části již posuzovaný předpis nepůsobí na právní vztahy a je obsoletní, byť představuje významný milník v historii samostatné republiky. Nicméně v ustanovení § 15 odst. 1 novelizuje dosud platný a účinný zákon č. 6/1993 Sb., o České národní bance, a proto je třeba ho nadále považovat za platný a účinný.
223/1994 Sb.;zánik federace;Zákon o sloučení Československé obchodní a průmyslové komory s Hospodářskou komorou České republiky, o některých opatřeních s tím souvisejících a o změně a doplnění zákona České národní rady č. 301/1992 Sb., o Hospodářské komoře České republiky a Agrární komoře České republiky, ve znění zákona č. 121/1993 Sb.;platný;"Posuzovaným předpisem v části první došlo ke sloučení Československé obchodní a průmyslové komory s Hospodářskou komorou České republiky a a dále bylo stanoveno, že stálým rozhodčím soudem působícím při Hospodářské komoře České republiky se stává Rozhodčí soud při Hospodářské komoře České republiky a Agrární komoře České republiky.
Předpis v části druhé novelizuje platný z. č. 301/1992 Sb.
Analyzovaný předpis je proto platným a účinným právním předpisem."
273/1948 Sb.;znarodnění;Zákon o úpravě uspokojení a o určení splatnosti některých závazků dotčených znárodňovacími a jinými předpisy;NA;NA
136/1949 Sb.;znarodnění;Zákon, jímž se činí některá opatření ve věcech konfiskovaných patentů;NA;NA
126/1948 Sb.;znarodnění;Zákon o znárodnění některých šlechtitelských podniků;obsoletní;Účelem posuzovaného zákona mělo být přesunutí šlechtění osiva a sadby ze soukromého sektoru do rukou státu, neboť rozložení hospodářských sil ve prospěch silnějších konkurentů mělo znevýhodňovat drobnější šlechtitele, jejichž odrůdy mohly být kvalitnější. Zároveň se přijetí dané úpravy odůvodňovalo i úpravou cizozemskou, zvláště se pak odkazovalo na šlechtitelství, které bylo kupříkladu v SSSR, USA a Anglii též věcí státní. V průběhu let nedošlo k pozměnění jakékoliv části textace analyzovaného zákona. Znárodnění dle tzv. „druhé vlny“ znárodňovacích předpisů proběhlo retroaktivně, a to k 1. lednu 1948. Druhá vlna znárodnění měla pak být dovršením „národní a demokratické revoluce československé“ a dle tehdejšího ministra průmyslu Fierlingera měla tato vlna reagovat na škody způsobené soukromo-kapitalistickým sektorem, který s ohledem na vyjádření poslance prozatímního a Ústavodárného NS a Národního shromáždění ČSR Evžena Erbana, „nepodpořil úsilí o budování lidové demokracie“. Znárodňovací předpisy z roku 1948 nebyly doposud z právního řádu České republiky odstraněny, respektive zákonodárce neprojevil vůli iniciovat jejich výslovné zrušení. V průběhu 90. let byly častým předmětem soudního přezkumu v souvislosti s restitučními nároky. Svojí konstrukcí se podobaly znárodňovacím dekretům z roku 1945, na některé dekrety též navazovaly. Vzhledem k teleologii příslušných znárodňovacích předpisů není jak z hlediska formálních (typicky znárodnění podniků nad 50 zaměstnanců), tak materiálních (harmonizace se sovětským právem) pochyb o obsolenci těchto předpisů, které jsou neslučitelné se současným demokratickým státním zřízením. Nicméně před případným návrhem na zrušení předpisu je třeba zvážit veškerá související kulturně-historická hlediska.
249/1948 Sb.;znarodnění;Zákon o zestátnění ústavů zemědělského a lesnického výzkumnictví a o jejich organisaci a správě;obsoletní;Dle důvodové zprávy neměla organizace zemědělského výzkumnictví pevný legální základ. Nejednotnost výzkumnictví a zřizování nových výzkumných ústavů, při současné absenci souhlasu ministerstva zemědělství, měla mít za následek nebezpečí, že některé ústavy budou vykonávat svoji činnost duplicitně. Hlavním účelem zestátnění byla tedy především otázka centralisace. Přesto je v souvislosti s významným sociálně-ekonomickým dopadem předpisu třeba před případným návrhem na jeho zrušení zvážit veškerá související kulturně-historická hlediska.
